subject,music,measure,value
2,blossom,fast,1
3,blossom,fast,1
4,blossom,fast,1
5,blossom,fast,3
6,blossom,fast,2
7,blossom,fast,1
8,blossom,fast,2
9,blossom,fast,1
10,blossom,fast,2
11,blossom,fast,1
12,blossom,fast,1
13,blossom,fast,1
1,blossom,slow,5
2,blossom,slow,5
3,blossom,slow,5
4,blossom,slow,4
5,blossom,slow,3
6,blossom,slow,4
7,blossom,slow,5
8,blossom,slow,4
9,blossom,slow,5
10,blossom,slow,4
11,blossom,slow,5
12,blossom,slow,5
13,blossom,slow,5
1,blossom,high,4
2,blossom,high,5
3,blossom,high,4
4,blossom,high,4
5,blossom,high,4
6,blossom,high,4
7,blossom,high,4
8,blossom,high,4
9,blossom,high,5
10,blossom,high,4
11,blossom,high,4
12,blossom,high,5
13,blossom,high,4
1,blossom,low,2
2,blossom,low,1
3,blossom,low,1
4,blossom,low,4
5,blossom,low,2
6,blossom,low,2
7,blossom,low,3
8,blossom,low,3
9,blossom,low,1
10,blossom,low,2
11,blossom,low,1
12,blossom,low,1
13,blossom,low,2
1,blossom,loud,2
2,blossom,loud,1
3,blossom,loud,2
4,blossom,loud,1
5,blossom,loud,4
6,blossom,loud,3
7,blossom,loud,2
8,blossom,loud,2
9,blossom,loud,4
10,blossom,loud,1
11,blossom,loud,2
12,blossom,loud,1
13,blossom,loud,1
1,blossom,soft,5
2,blossom,soft,5
3,blossom,soft,5
4,blossom,soft,3
5,blossom,soft,2
6,blossom,soft,3
7,blossom,soft,4
8,blossom,soft,3
9,blossom,soft,5
10,blossom,soft,5
11,blossom,soft,5
12,blossom,soft,4
13,blossom,soft,5
1,blossom,consonant,5
2,blossom,consonant,4
3,blossom,consonant,5
4,blossom,consonant,4
5,blossom,consonant,5
6,blossom,consonant,5
7,blossom,consonant,5
8,blossom,consonant,5
9,blossom,consonant,5
10,blossom,consonant,5
11,blossom,consonant,5
12,blossom,consonant,5
13,blossom,consonant,4
1,blossom,dissonant,1
2,blossom,dissonant,2
3,blossom,dissonant,1
4,blossom,dissonant,3
5,blossom,dissonant,1
6,blossom,dissonant,1
7,blossom,dissonant,3
8,blossom,dissonant,1
9,blossom,dissonant,1
10,blossom,dissonant,1
11,blossom,dissonant,1
12,blossom,dissonant,1
13,blossom,dissonant,2
1,blossom,instruments,"flute, harp"
2,blossom,instruments,"Flute, harp"
3,blossom,instruments,"flute, harp"
4,blossom,instruments,"harp, flute"
5,blossom,instruments,bassons
6,blossom,instruments,"harp, flute"
7,blossom,instruments,NA
8,blossom,instruments,"flute, guitar"
9,blossom,instruments,flute
10,blossom,instruments,flute
11,blossom,instruments,"flute, harp"
12,blossom,instruments,"flute, harp"
13,blossom,instruments,flute
1,blue,fast,2
2,blue,fast,1
3,blue,fast,2
4,blue,fast,3
5,blue,fast,2
6,blue,fast,2
7,blue,fast,1
8,blue,fast,4
9,blue,fast,1
10,blue,fast,2
11,blue,fast,3
12,blue,fast,5
13,blue,fast,1
1,blue,slow,4
2,blue,slow,5
3,blue,slow,3
4,blue,slow,3
5,blue,slow,4
6,blue,slow,4
7,blue,slow,4
8,blue,slow,2
9,blue,slow,5
10,blue,slow,4
11,blue,slow,4
12,blue,slow,1
13,blue,slow,5
1,blue,high,2
2,blue,high,4
3,blue,high,3
4,blue,high,4
5,blue,high,3
6,blue,high,3
7,blue,high,3
8,blue,high,4
9,blue,high,2
10,blue,high,3
11,blue,high,3
12,blue,high,4
13,blue,high,4
1,blue,low,4
2,blue,low,4
3,blue,low,3
4,blue,low,4
5,blue,low,3
